Game Name,Executable Timestamp,Executable Filename,Executable Hash (MD5),Most Recent File Timestamp,Most Recent Filename,Most Recent File Hash (MD5),Volume Creation Date,Volume Modification Date,Filename
007: The World Is Not Enough ,2000-09-22 19:33:06,/SLUS_012.72,a20f68984c725ac70ef2942e7e3d926a,2000-09-22 19:33:18,/L11/LVL11CD.BIN,45eed783662227b1e90802a51eb59af1,,,007 - The World Is Not Enough (USA).bin
007: Tomorrow Never Dies ,1999-10-15 13:19:34,/SLES_013.24,cccd832f79d33c0a3b43f86162028ff4,1999-10-15 13:19:38,/L10/LVL10CD.BIN,7829bdcb7f1fa747ef89d5f4940b2caf,1999-10-15 15:02:37,,007 - Tomorrow Never Dies (Europe).bin
007: Tomorrow Never Dies ,1999-12-16 05:28:34,/SLPS_026.04,e4647aa82f4346a6430cd629486668a5,1999-12-16 05:28:46,/L12/LVL12CD.BIN,7ec844280c04ae471a11d45e8362f46d,1999-12-20 00:00:00,,007 - Tomorrow Never Dies (Japan).bin
007: Tomorrow Never Dies ,1999-10-15 12:39:34,/SLUS_009.75,756d0e793a2aec69692486607f257472,1999-10-15 12:39:50,/L12/LVL12CD.BIN,99c64cdc494f292130f9848ee4ca5f88,1999-10-15 15:02:37,,007 - Tomorrow Never Dies (USA).bin
007 Racing ,2000-10-23 15:10:36,/SLES_033.55,7e093a04a97f5b7a99ad9b4d3b2e7c9a,2000-10-30 09:46:04,/ZZHUD.VIV,a9dda430460e471acfc6aa1f5d1f1280,,,007 Racing (Europe).bin
007 Racing ,2000-10-23 15:16:14,/SLES_033.56,80016a96b7dd7dc716076047163fcce6,2000-10-31 10:22:16,/ZZHUD.VIV,83c4e2761a3b240a376473d6a021806a,,,007 Racing (France).bin
007 Racing ,2000-10-24 13:14:42,/SLES_033.57,c56cbf59e2b9a9dc0ab6f20937a31569,2000-11-14 11:03:40,/ZZHUD.VIV,17271041d8a61235d49131f2135c6da0,,,007 Racing (Germany).bin
007 Racing ,2000-10-04 06:34:30,/SLUS_013.00,1434536157d6c3ce6e599098895936c4,2000-10-29 14:02:16,/ZZHUD.VIV,3a56d6675eabb4eb39bb6d47028d5cd8,,,007 Racing (USA).bin
1 on 1 ,1998-10-06 11:10:54,/SLPM_803.51,f28e6b1bb08446fdaa522ae77d57f266,,,,1998-10-06 10:20:00,,1 on 1 (Japan) (Demo).bin
1 on 1 ,1998-10-08 00:46:08,/SLPS_017.06,682e22066725ecb308496d30d13b9adb,,,,1998-10-08 10:20:00,,1 on 1 (Japan).bin
100 Man Yen Quiz Hunter ,1998-11-26 14:29:12,/SLPS_017.30,71a0502337272a11e96432a264a275fb,,,,1998-11-22 06:10:00,,100 Man Yen Quiz Hunter (Japan).bin
100% Star ,2001-10-24 11:16:52,/SLES_037.84,03e1662d00faf0764c402e0114251d25,,,,2001-10-24 16:13:08,,100% Star (Europe) (Track 1).bin
100% Star ,2001-10-22 16:32:24,/SLES_036.58,32528edb0488d804e136ec540aec8845,,,,2001-10-22 16:13:08,,100% Star (France) (Track 1).bin
10101: Will the Starship ,1997-10-06 21:21:08,/SLPS_010.54,a7673cf844a8574b9bbecb686ea68ef6,,,,1997-10-06 16:00:00,,10101 - Will the Starship (Japan) (Track 01).bin
10th Anniversary Memorial Save Data ,2004-12-02 05:13:48,/SLPM_806.43,3dd8afe1d9c8b45a63efdcb13f9c3ae6,2004-12-03 10:07:26,/KERNEL.EXE,27a9a7a750b610e80cddba3a256ef717,2004-12-03 10:00:00,,10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou).bin
16 Tales 1 ,1996-09-12 17:16:20,/LSP99012.101,46359a74afd396ecb7cb4efc091275d4,1996-09-12 17:24:40,/MOVIES/ST1.PAK,b808768129338e925d76f1d5a77b1d2f,1996-09-17 10:00:59,1996-09-17 10:01:00,16 Tales 1 (USA).bin
16 Tales 2 ,1996-09-09 16:04:08,/LSP99012.201,46359a74afd396ecb7cb4efc091275d4,1996-09-29 13:48:42,/MOVIES/ST2.PAK,4d76061c39160987553a1840682092d1,1996-09-29 13:54:43,1996-09-29 13:55:00,16 Tales 2 (USA).bin
16 Tales 3 ,1996-09-09 13:00:20,/LSP99012.301,46359a74afd396ecb7cb4efc091275d4,2009-09-10 08:56:12,/GAME.RFS,9f2703177f65b68793b3b26f38cc623d,1996-11-01 14:14:33,1996-11-01 14:14:33,16 Tales 3 (USA).bin
16 Tales 4 ,1996-09-12 17:16:20,/LSP99012.401,46359a74afd396ecb7cb4efc091275d4,1996-09-13 10:11:30,/GAME.RFS,7e267daf1e1d812355344ad75c6a28a7,1996-09-18 12:11:52,1996-09-18 12:11:52,16 Tales 4 (USA).bin
19-ji 03-pun: Ueno-hatsu Yakou Ressha ,1998-12-07 17:46:52,/SLPM_801.81,111a5798a58d4a1ad577b5a923819af6,1998-12-07 18:58:28,/SYSTEM.CNF,b8e81b37294bad53a2a2286078728fff,1998-12-07 19:10:54,,19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo).bin
19-ji 03-pun: Ueno-hatsu Yakou Ressha ,1998-12-20 13:34:44,/SLPS_018.65,92b3cfa8431b35f02df254b7e2f41469,1998-12-20 20:57:28,/TSDS.CFG,f5bfca16fd7acea9dc2864d0818ceb33,1999-01-27 21:00:00,,19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan).bin
1Xtreme ,1998-08-18 18:12:04,/SCUS_945.03,e6e5a6a7c1cb9fbdca3c59d92321c560,,,,1998-08-18 18:12:04,,1Xtreme (USA) (Track 1).bin
20-seiki Striker Retsuden: The 20th Century's Real Strikers ,1999-11-19 14:43:20,/SLPS_023.48,f27002312474ebb171e001b2e7d92864,,,,1999-12-24 07:10:00,,20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan).bin
2002 FIFA World Cup ,2002-03-08 18:03:18,/SLES_038.30,5f9d09adc73d290482314d14fc6f8571,2002-03-16 23:33:54,/FECODE_Z.BIN,331c14be5eccf4c171738ac37577da3e,2002-03-16 15:50:33,,"2002 FIFA World Cup (Europe) (En,Sv).bin"
2002 FIFA World Cup ,2002-03-08 18:03:18,/SLES_038.31,5f9d09adc73d290482314d14fc6f8571,2002-03-16 21:02:32,/FECODE_Z.BIN,395acd4edb58456f89247dfb420b77d3,2002-03-16 15:50:33,,2002 FIFA World Cup (France).bin
2002 FIFA World Cup ,2002-03-08 18:03:18,/SLES_038.32,5f9d09adc73d290482314d14fc6f8571,2002-03-17 10:37:44,/WS_FTP.LOG,504d92541ecc9b891f0744bf7fcfa93b,2002-03-16 07:36:45,,2002 FIFA World Cup (Germany).bin
2002 FIFA World Cup ,2002-03-08 18:03:18,/SLES_038.33,5f9d09adc73d290482314d14fc6f8571,2002-03-16 22:17:28,/FECODE_Z.BIN,8a24415a485db0525705db5b19595aa6,2002-03-16 15:50:33,,2002 FIFA World Cup (Italy).bin
2002 FIFA World Cup ,2002-03-08 18:03:18,/SLES_038.34,5f9d09adc73d290482314d14fc6f8571,2002-03-17 00:38:54,/FECODE_Z.BIN,9225ef7f512d5ba2a488108c0fbb8503,2002-03-16 15:50:33,,2002 FIFA World Cup (Spain).bin
2002 FIFA World Cup ,2002-03-08 18:03:12,/SLUS_014.49,59599ba9429eef372b319bf4b3b32bee,2002-03-08 18:05:46,/SYSTEM.CNF,d57cd7b2d4709091856133e607702592,2002-03-08 20:06:59,,"2002 FIFA World Cup (USA) (En,Es).bin"
2Xtreme ,1997-01-15 08:39:28,/SCES_004.00,88db38f0eec6faf4eeb4ea022fc21045,1997-01-15 10:09:04,/LOADER.EXE,1beca45dfe31c135a0b9f05806724f6b,1997-01-16 08:54:28,,2Xtreme (Europe) (Track 1).bin
2Xtreme ,1996-10-09 00:54:48,/SCUS_945.08,f2bf7ea92d4389cfc148aab59849759e,1996-10-09 01:28:22,/SNOWB2.EXE,80961c51a1f1a1cf3bca8abf81967459,1996-10-16 11:11:09,,2Xtreme (USA) (Track 1).bin
"3, 2, 1, Smurf! My First Racing Game ",2000-10-30 15:28:36,/SLES_031.20,b56d93415b6e1f867bd3277499eed444,,,,,,"3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl).bin"
360 Three Sixty ,1999-05-26 14:57:26,/SLES_020.89,4346a5ef5418bc764e86346882a54318,1999-05-27 10:12:16,/GAME.EXE,fcf303f7e94552bf01d843e8ec3749e9,1999-05-27 10:16:55,,"360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv) (Track 01).bin"
3D Baseball: The Majors ,1997-01-14 13:05:08,/SLPS_006.93,13476746b157f2ccf08cfa883214be1d,,,,1997-01-14 19:00:00,,3D Baseball - The Majors (Japan).bin
3D Baseball ,1996-10-25 14:37:56,/SLUS_000.66,7d2bc0f72d12cc59adf013151a2607e8,1996-10-25 14:47:42,/BIGFILE.FOO,ed5e6d1f12d2fe5039a44841eb9ad92f,1996-10-25 02:37:32,,3D Baseball (USA).bin
3D Kakutou Tkool ,1998-07-30 00:00:00,/SLPS_014.34,0c94f3fb15481b7f9163f586d60836ba,,,,1998-06-23 00:00:09,,3D Kakutou Tkool (Japan) (Track 1).bin
3D Lemmings ,1995-09-07 13:45:34,/SCES_000.09,2329f9ba04c4254b68d06671062c8a0b,,,,1995-09-07 14:15:00,,3D Lemmings (Europe) (Track 01).bin
3D Lemmings ,1996-03-01 17:28:14,/SIPS_600.02,f4f204d4f560367cca8b4da70ef3a50b,,,,1996-03-04 14:00:00,,3D Lemmings (Japan) (Track 01).bin
3D Lemmings ,1995-09-20 13:32:54,/SCUS_946.01,86f266e7f7116d6546679738bb2587d9,,,,1995-09-20 14:14:00,,3D Lemmings (USA) (Track 01).bin
3D Mission Shooting: Finalist ,1996-07-09 14:47:34,/SLPS_004.61,ea3584002eeee28c10a1cc3a1a49d488,,,,1996-08-04 04:20:12,,3D Mission Shooting - Finalist (Japan) (Track 01).bin
3D Shooting Tkool ,1996-10-24 12:18:32,/SLPS_006.54,5dd1acda1b8b4a754e73115e7a9a42eb,1996-10-24 12:22:42,/SYSTEM.CNF,d7b33bce0073bc6532861c410d041421,1996-11-13 14:15:13,,3D Shooting Tkool (Japan).bin
3D-Kaleidoscope: Baby Universe ,1997-04-10 17:26:37,/SCPS_180.06,05730bf0f53bbae292a248dd55acfda5,,,,1997-04-10 17:26:49,,3D-Kaleidoscope - Baby Universe (Japan).bin
3x3 Eyes: Kyuusei Koushu ,1995-07-12 20:04:04,/PSX.EXE,cf011b9074e5f3daacdb9d3d2de173cd,,,,1995-04-07 19:35:54,1995-07-12 00:00:00,3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1) (Track 1).bin
3x3 Eyes: Kyuusei Koushu ,1995-07-12 20:04:04,/PSX.EXE,cf011b9074e5f3daacdb9d3d2de173cd,,,,1995-04-07 19:35:54,1995-07-12 00:00:00,3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2) (Track 1).bin
3x3 Eyes: Tenrin'ou Genmu ,1998-06-16 03:07:44,/SLPS_014.97,7665544b2dc4acbeb4738ef8ac156a11,1998-06-25 00:38:12,/DAMY.BIN,ba15a3fef08ce222d64b3600cded1b5a,1998-06-16 04:00:00,1998-06-16 04:00:00,3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1).bin
3x3 Eyes: Tenrin'ou Genmu ,1998-06-16 03:07:44,/SLPS_014.98,7665544b2dc4acbeb4738ef8ac156a11,1998-06-16 03:08:32,/DISC2.DAT,7c9c63007e34d3886080057f441bd499,1998-06-16 04:00:00,1998-06-16 04:00:00,3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2).bin
3x3 Eyes: Tenrin'ou Genmu ,1998-06-16 03:07:44,/SLPS_014.99,7665544b2dc4acbeb4738ef8ac156a11,1998-06-16 03:08:32,/DISC3.DAT,0c9505cbc50221f329a9aa37fd694f4d,1998-06-16 04:00:00,1998-06-16 04:00:00,3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3).bin
3x3 Eyes: Tenrinou Genmu ,1998-06-16 03:07:44,/SLPS_014.97,7665544b2dc4acbeb4738ef8ac156a11,1998-06-25 00:38:12,/DAMY.BIN,ba15a3fef08ce222d64b3600cded1b5a,1998-06-16 04:00:00,1998-06-16 04:00:00,3x3 Eyes - Tenrinou Genmu (Japan) (Disc 1).bin
3x3 Eyes: Tenrinou Genmu ,1998-06-16 03:07:44,/SLPS_014.98,7665544b2dc4acbeb4738ef8ac156a11,1998-06-16 03:08:32,/DISC2.DAT,7c9c63007e34d3886080057f441bd499,1998-06-16 04:00:00,1998-06-16 04:00:00,3x3 Eyes - Tenrinou Genmu (Japan) (Disc 2).bin
3x3 Eyes: Tenrinou Genmu ,1998-06-16 03:07:44,/SLPS_014.99,7665544b2dc4acbeb4738ef8ac156a11,1998-06-16 03:08:32,/DISC3.DAT,0c9505cbc50221f329a9aa37fd694f4d,1998-06-16 04:00:00,1998-06-16 04:00:00,3x3 Eyes - Tenrinou Genmu (Japan) (Disc 3).bin
3Xtreme ,1999-04-02 20:01:10,/SCUS_943.65,b2b5915198302d465db40126c08afce6,1999-04-02 21:46:46,/GAME.EXE,ff2528a7f39544237f32aa762602a661,1999-04-02 22:44:33,,3Xtreme (USA) (Demo) (Track 1).bin
3Xtreme ,1999-03-29 12:55:38,/SCUS_942.31,704e762510934e6dd20290ce5db66eb3,,,,1999-03-29 02:44:33,,3Xtreme (USA) (Track 1).bin
4-4-2 Soccer ,1997-03-24 14:39:32,/SLES_000.95,7d34ccdc39d51240ac3bc3e48d01f32d,1997-05-06 16:24:52,/GAME.EXE,5f6ef71ec2320cc740edc622ddf1b8dc,1997-05-13 16:33:56,1997-05-13 16:33:56,"4-4-2 Soccer (Europe) (En,Fr,De,Es) (Track 01).bin"
40 Winks ,1999-09-12 14:17:42,/SLED_024.35,37e1f4a99b2b4e9d01d4cf1a893eb025,1999-09-14 10:57:58,/3MN_BLNK.DAT,cb5ef32b5648de4f72e98c2a638795b4,1999-11-11 14:37:32,,40 Winks (Europe) (Demo).bin
40 Winks ,1999-09-28 18:33:46,/SLES_019.37,3079ad26f62d1917f15aec2ff281973f,,,,1999-10-15 00:00:00,,40 Winks (Europe).bin
40 Winks ,1999-09-28 18:33:46,/SLES_019.40,6e79c9696ba01a507477103f2c764a27,,,,1999-10-14 00:00:00,,40 Winks (Italy).bin
40 Winks ,1999-09-28 18:33:46,/SLES_019.41,8eb03928bacca8ee35e3573e27546bdc,,,,1999-10-14 00:00:00,,40 Winks (Spain).bin
40 Winks ,1999-09-20 17:23:08,/SLUS_008.74,098ae8996ec97e414256370155add992,,,,1999-09-28 14:30:00,,40 Winks (USA).bin
4x4 World Trophy ,2000-03-28 04:40:00,/SLES_020.17,75d2c0cb92995208be2492dac5685715,2000-03-28 06:10:00,/TDOR3.DAT,07ebe46057ecacbdf34c87a62a20f9b8,,,"4x4 World Trophy (Europe) (En,Fr,De,Es,It).bin"
5 Star Racing ,2003-03-13 13:36:36,/SLES_040.64,ef8d0030168b3d12eb66be9955794067,,,,2003-03-18 13:43:45,,5 Star Racing (Europe) (Track 01).bin
50 por 15: Quiere Ser Millonario ,2001-11-01 15:18:36,/SLES_034.81,78693a5c8390b1bba88e16d650261e98,,,,2001-11-01 08:42:48,,50 por 15 - Quiere Ser Millonario (Spain).bin
70's Robot Anime: Geppy-X: The Super Boosted Armor ,1999-04-14 00:00:00,/SLPS_019.95,a3eb52ad5720d6793d4894b60bf2ccc9,,,,1999-04-14 00:00:00,,70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1).bin
70's Robot Anime: Geppy-X: The Super Boosted Armor ,1999-04-14 00:00:00,/SLPS_019.96,a3eb52ad5720d6793d4894b60bf2ccc9,,,,1999-04-14 00:00:00,,70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2).bin
70's Robot Anime: Geppy-X: The Super Boosted Armor ,1999-04-14 00:00:00,/SLPS_019.97,a3eb52ad5720d6793d4894b60bf2ccc9,,,,1999-04-14 00:00:00,,70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3).bin
70's Robot Anime: Geppy-X: The Super Boosted Armor ,1999-04-14 00:00:00,/SLPS_019.98,a3eb52ad5720d6793d4894b60bf2ccc9,,,,1999-04-14 00:00:00,,70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4).bin
70's Robot Anime: Geppy-X ,1999-01-23 00:00:00,/SLPM_803.87,8ba6e653c938c2603c599d4038d4fbf6,,,,1999-01-23 00:00:00,,70's Robot Anime - Geppy-X (Japan) (Demo).bin
98 Koushien: Koukou Yakyuu Simulation ,1998-05-11 15:57:20,/EXE/SLPS_012.04,ebbef785a732f5f92ce599590b21d3e2,1998-05-11 18:02:45,/EXE/TOSSBAT.EXE,b6f5076feb8b5b93ab9a46c031796afa,1998-05-11 18:05:44,,98 Koushien - Koukou Yakyuu Simulation (Japan).bin
98 Koushien ,1998-04-16 12:32:29,/EXE/SLPM_802.38,049e168028d45b139ec52b75821f28d5,1998-04-16 15:06:01,/EXE/TOSSBAT.EXE,6eac839a9874390e76638e0f6e313ddd,1998-04-16 03:08:30,,98 Koushien (Japan) (Demo).bin
99 Koushien ,1999-03-12 13:18:42,/EXE/SLPM_804.21,4b8b38bcd761b2490d538f8a1f79534f,1999-03-12 17:19:06,/TIM/CSKYTIM.PCK,3be07776cf47c31cc26feca02238b1ef,1999-03-12 13:02:07,,99 Koushien (Japan) (Demo) (Track 1).bin
99 Koushien ,1999-05-03 21:14:20,/EXE/SLPS_021.10,c9a16886b906fbf12df78001d6d985be,1999-05-05 22:06:19,/EXE/PLAY.EXE,836ef9d84f321d15f28b55f1b301dda8,1999-05-03 11:41:04,,99 Koushien (Japan) (Track 01).bin
A Ressha de Ikou 4: Evolution ,1994-11-02 20:01:40,/PSX.EXE,21e38e53c0735b93202116c91357d0d5,,,,1994-11-02 20:02:06,,A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set).bin
A Ressha de Ikou 4: Evolution ,1995-03-02 18:04:42,/PSX.EXE,593e916c27f47df40e269693ed0d1dd5,,,,1995-03-02 18:05:20,,A Ressha de Ikou 4 - Evolution (Japan) (Rev 1).bin
A Ressha de Ikou 4: Evolution ,1994-11-02 18:59:18,/PSX.EXE,a0e64869676ceefb454c1dc6c6342dee,,,,1994-11-02 18:59:47,,A Ressha de Ikou 4 - Evolution (Japan).bin
A Ressha de Ikou 4: Evolution Global ,1997-01-26 01:05:56,/SLPS_910.19,633a6bf804934b29cfed8a56c6e46870,1997-01-26 08:19:22,/EXE/A4GJP.EXE,2d7084a465ab3b6c855c91066e9fa4a1,1997-02-05 13:50:00,,"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best) (Track 1).bin"
A Ressha de Ikou 4: Evolution Global ,1995-10-05 19:16:46,/SLPS_001.25,a0c47aae28509c40447bf7e2e3b007a7,1995-10-05 19:17:52,/SYSTEM.CNF,7ea83c4041597ab04d0bd3bc4497c952,1995-10-13 01:45:00,,"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (Track 1).bin"
A Ressha de Ikou Z: Mezase! Tairiku Oudan ,1999-03-14 23:05:38,/SLPS_020.50,9ad7b3cc33bc6ec488058febd40f866d,1999-03-26 13:43:40,/MAIN.EXE,84acee21d7faf851276b97ced1cee383,1999-02-13 18:00:00,1999-03-26 18:00:00,A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan) (Track 1).bin
A Sangre Fria ,2000-06-14 19:08:20,/SCES_021.53,1a03699b7ab02c3dac62705138a25436,,,,,,A Sangre Fria (Spain) (Disc 1).bin
A Sangre Fria ,2000-06-14 19:08:38,/SCES_121.53,1a03699b7ab02c3dac62705138a25436,,,,,,A Sangre Fria (Spain) (Disc 2).bin
A Sangue Freddo ,2000-06-16 09:02:42,/SCES_021.52,34961cabcf06e811175414aa9b267173,,,,,,A Sangue Freddo (Italy) (Disc 1).bin
A Sangue Freddo ,2000-06-16 09:02:55,/SCES_121.52,34961cabcf06e811175414aa9b267173,,,,,,A Sangue Freddo (Italy) (Disc 2).bin
"A-Train: Trains, Power, Money ",1995-12-25 21:41:12,/SLUS_000.03,d49ca448c85988bcda833a3591ba1068,1996-01-16 10:25:52,/EXE/A4GFR.EXE,7c412789fbc01193dd9ed1bf795fd877,1996-01-17 13:15:00,,"A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De) (Track 1).bin"
A.IV: Evolution Global ,1996-03-19 18:04:26,/SCES_002.90,c6925cd4386e920656babc3c87e80183,1996-06-07 16:27:14,/SEL/SCEELOGO.TIM,759aca9d7cc65c64899068171b8de4c5,1996-09-24 15:20:00,,"A.IV - Evolution Global (Europe) (En,Ja,Fr,De) (Track 1).bin"
A2 Racer: Europa Tour ,2000-05-17 11:10:20,/SLES_026.95,bbae4939478e2b79ec0c5500c56d878d,,,,,,A2 Racer - Europa Tour (Netherlands) (Track 01).bin
A5: A Ressha de Ikou 5 ,1997-10-26 12:32:22,/SLPS_011.20,e034e3ecd8c30fcbbe1fcf1407c7a198,1997-10-29 13:11:48,/MAIN.EXE,36d421b017616686ce4273269fff27f1,1997-08-01 15:00:00,1997-10-29 13:20:00,A5 - A Ressha de Ikou 5 (Japan) (Track 1).bin
AbalaBurn ,1998-07-15 02:34:36,/SLPS_012.80,320f75631226470e5c49c05effe0aaec,,,,1998-07-15 03:00:00,,AbalaBurn (Japan).bin
Abe '99 ,1998-05-13 15:32:22,/SLPS_020.95,45e40b46cb9060e66dd2ca3c551e27ff,1998-09-25 00:55:10,/DUMMY.PAD,2cb6621304c0ea65a3cb927fae65860e,1999-07-21 12:00:00,,Abe '99 (Japan) (Disc 1).bin
Abe '99 ,1998-05-13 15:32:22,/SLPS_020.96,2ebda9277b8cd1d8081515a5ab098c38,1998-09-25 00:55:10,/DUMMY.PAD,2cb6621304c0ea65a3cb927fae65860e,1999-07-21 12:00:00,,Abe '99 (Japan) (Disc 2).bin
Abe a GoGo ,1996-01-28 15:48:36,/SLPM_801.75,6e576689794209c03e310c6e4fa5fa5b,1997-09-26 15:19:08,/SYSTEM.CNF,76aebca0c9ebab79552ee618b541d18e,1997-10-20 12:00:00,,Abe a GoGo (Japan) (Demo).bin
Abe a GoGo ,1996-01-28 15:48:36,/SLPS_011.18,9dd15b71f888e8335412074e6d8bbf38,1997-05-16 13:52:50,/SYSTEM.CNF,2c6b17e387df71331b9e633fc4413690,1997-10-26 23:30:00,,Abe a GoGo (Japan).bin
Absolute Football ,1999-01-12 16:07:52,/SLES_013.41,f95de796e62a8f78854f1aa4bfa9daec,,,,1999-03-01 18:06:24,1999-03-01 18:06:24,"Absolute Football (France) (En,Fr,De,Es,It,Pt).bin"
Ace Combat ,1995-05-17 00:00:00,/PSX.EXE,1b3027d4d7c889a89f5a647f79785df8,,,,1995-05-17 00:00:00,,Ace Combat (Japan) (Track 01).bin
Ace Combat 2 ,1997-08-08 01:02:00,/SCES_006.99,ab262329f2a9912d5dc2995a56f225e2,,,,1997-08-08 01:02:00,,Ace Combat 2 (Europe).bin
Ace Combat 2 ,1997-08-08 01:01:00,/SCES_009.01,15046e0543a8f9eac75fb7852f1caffe,,,,1997-08-08 01:01:00,,Ace Combat 2 (France).bin
Ace Combat 2 ,1997-08-08 01:01:00,/SCES_009.02,6ce1c506bb34bb115d14725d406fe11c,,,,1997-08-08 01:01:00,,Ace Combat 2 (Germany).bin
Ace Combat 2 ,1997-07-10 03:01:00,/SLPS_008.30,3187e6cdb82e379167c6326863d43ac9,,,,1997-07-10 03:01:00,,Ace Combat 2 (Japan) (Rev 1).bin
Ace Combat 2 ,1997-04-25 01:02:00,/SLPS_008.30,0ba3be4bfa78e5cd8545f7a1fe6d94fa,,,,1997-04-25 01:02:00,,Ace Combat 2 (Japan).bin
Ace Combat 2 ,1997-07-16 01:02:00,/SLUS_004.04,2622786de8d04eb398e52d311ea7ff95,,,,1997-07-16 01:02:00,,Ace Combat 2 (USA).bin
Ace Combat 3: Electrosphere: Direct Audio with AppenDisc ,1999-06-17 10:18:20,/SLPM_804.53,38ebe352f0a8fef8b2ff6fc74bdb5010,,,,1999-06-22 19:00:00,,Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan) (Track 01).bin
Ace Combat 3: Electrosphere ,1999-12-11 01:02:00,/SCES_020.66,44d44a666791582164bee85b36cddc40,,,,1999-12-11 01:02:00,,"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It).bin"
Ace Combat 3: Electrosphere ,1999-05-27 01:20:00,/SLPS_020.20,37d073411f4e377fa4b087d69636a6a4,,,,1999-05-27 01:20:00,,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1).bin"
